Código do contrato,Nome do imóvel,Nome do proprietário,Bairro,Cidade,Estado,Número de inquilinos,Nome(s) do(s) inquilino(s),Número de proprietários/beneficiários,Nomes dos proprietários/beneficíarios,Valor do aluguel,Taxa de administração do contrato,Taxa de locação do contrato,Taxa de administração é valor fixo,Taxa de locação é valor fixo,Data de início do contrato,Data do fim do contrato,Valor de venda do imóvel,Data de recisão,Contrato ativo,Número de locações do imóvel,Data do último reajuste,Contrato suspenso,Gerente comercial,Tipo de imóvel,Tipo de contrato,Tempo de contrato,Tempo para fim do contrato,Valor taxa de administração,Valor taxa de locação
658/1,"Casa No Jardim Santa Emília, Rua Flaviano Lopes Serra 89  Casa Fundo ",José Rocha,Jardim Santa Emília,Hortolândia,SP,1,['Cosme Damião'],4,José Rocha,535.34,8.0,0.0,Não,Não,2017-05-10,,0.0,,Sim,1,2022-05-16,Sim,"[{'id_pessoa_pes': '534', 'st_fantasia_pes': 'Arthur', 'st_email_pes': '', 'st_cnpj_pes': '99364556062', 'st_celular_pes': '', 'fl_naodomiciliado_pes': '0', 'is_gerente_con': '1'}]",Casa,Residencial,2312,,42.827200000000005,0.0
614/1,"Casa No Jardim Santa Emília, Rua Flaviano Lopes Serra 89  Casa C ",José Rocha,Jardim Santa Emília,Hortolândia,SP,1,['Adão Santos'],2,José Rocha,550.0,50.0,0.0,Não,Não,2020-02-01,,0.0,,Sim,1,2022-02-01,Sim,,Casa,Residencial,1315,,275.0,0.0
341/1,"Garagem No Jardim Dos Oliveiras, Rua Tupã",Alicia Keys,Jardim Dos Oliveiras,Campinas,SP,1,['Aline Freitas'],3,Alicia Keys,3347.68,8.0,0.0,Não,Sim,2016-12-09,,0.0,,Sim,1,2022-12-09,Sim,"[{'id_pessoa_pes': '886', 'st_fantasia_pes': 'Teste Aloca', 'st_email_pes': 'sem@email.com', 'st_cnpj_pes': '34754442407', 'st_celular_pes': '', 'fl_naodomiciliado_pes': '', 'is_gerente_con': '1'}]",Garagem,Residencial,2464,,267.8144,0.0
255/2,"Apartamento No Centro, Avenida Sete De Setembro 671  Bloco 1 Apto. 55 ",Gabrielly Fabiana Alícia Aparício,Centro,Sumaré,SP,1,['Black Alien'],2,Gabrielly Fabiana Alícia Aparício,850.0,12.0,0.0,Não,Sim,2021-09-01,,0.0,,Sim,2,2022-01-01,Sim,,Apartamento,Residencial,737,,102.0,0.0
36/1,"Casa No Jardim Primavera, Rua Fernando Costa 856 ",Gt Emprrendimentos Imobiliários,Jardim Primavera,Campinas,SP,1,['Helena'],1,Gt Emprrendimentos Imobiliários,1883.0,10.0,50.0,Não,Sim,2016-12-09,,0.0,,Sim,1,2021-12-09,Sim,,Casa,Residencial,2464,,188.3,50.0
845/1,"Casa No Nova Campinas, Praça Franklin Delano Roosevelt 123 ",Tarcízio Meira,Nova Campinas,Campinas,SP,1,['Alexandre Santos'],1,Tarcízio Meira,1835.3,7.0,10.0,Não,Sim,2019-10-04,2021-04-03,1223434.0,,Sim,1,2022-10-10,Sim,,Casa,Residencial,1435,-888.0,128.471,10.0
164/2,"Casa No Jardim Turim, Rua Movimento Jovem 182 ",Testelar,Jardim Turim,Indaiatuba,SP,1,['Ademir Soares'],1,Testelar,2531.87,0.0,0.0,Não,Sim,2020-06-11,2022-12-10,0.0,,Sim,2,2021-06-30,Sim,,Casa,Residencial,1184,-272.0,0.0,0.0
uru900/1,"Apartamento No Centro, Rua Uruguaiana 900 ",Marcio Peçanha Junior,Centro,Rio De Janeiro,RJ,2,"['Bárbara Patrão', 'Ademir Soares']",2,Marcio Peçanha Junior,9800.0,1.0,0.0,Sim,Sim,2011-01-01,2022-12-31,,,Sim,1,2013-01-01,Sim,,Apartamento,Residencial,4633,-251.0,1.0,0.0
34/1,"Casa No Jardim Santa Lúcia, Avenida Carlos Lacerda 548 ",Carlos Alberto De Nóbrega Praça,Jardim Santa Lúcia,Campinas,SP,1,['Imobiliária terceira'],1,Carlos Alberto De Nóbrega Praça,5000.0,10.0,0.0,Não,Sim,2020-07-17,2023-01-16,0.0,,Sim,1,2021-06-30,Sim,,Casa,Residencial,1148,-235.0,500.0,0.0
129/3,"Casa No Jardim Das Violetas, Avenida Dos Jequitibás",Paolo,Jardim Das Violetas,Sinop,MT,1,['Teste de IR locatario'],1,Paolo,6811.48,10.0,0.0,Não,Não,2018-02-01,2023-01-31,0.0,,Sim,3,2021-08-01,Sim,,Casa,Residencial,2045,-220.0,681.148,0.0
47/2,"Chácara No Muchila, Travessa Santo Antônio De Pádua 14 ",Conceição Evaristo,Muchila,Salvador,BA,1,['Ademir Soares'],2,Conceição Evaristo,800.0,10.0,0.0,Não,Não,2020-08-05,2023-02-04,0.0,,Sim,2,2021-06-30,Sim,,Chácara,Residencial,1129,-216.0,80.0,0.0
26/3,"Apartamento No Xdfhcb, Dfbcv 10 ",Teste Imoveismarc,Xdfhcb ,Piracaia,SP,1,['João Fran'],1,Teste Imoveismarc,1143.17,8.0,0.0,Não,Sim,2020-09-02,2023-03-01,0.0,,Sim,3,2021-06-30,Sim,,Apartamento,Residencial,1101,-191.0,91.45360000000001,0.0
274/1,"Apartamento No Jardim Dos Oliveiras, R. Joaquim Vilac 956 ",João Fran,Jardim Dos Oliveiras,Campinas,SP,1,['Ademir Soares'],2,João Fran,1500.0,8.0,0.0,Não,Sim,2020-10-01,2023-03-31,0.0,,Sim,1,2022-10-01,Sim,"[{'id_pessoa_pes': '886', 'st_fantasia_pes': 'Teste Aloca', 'st_email_pes': 'sem@email.com', 'st_cnpj_pes': '34754442407', 'st_celular_pes': '', 'fl_naodomiciliado_pes': '', 'is_gerente_con': '1'}]",Apartamento,Residencial,1072,-161.0,120.0,0.0
58/2,"Apartamento Duplex No Renascer, Travessa Santo Antônio De Pádua 125  Teste De Despesa ",P!Nk,Renascer,Salvador,BA,1,['Imobiliária terceira'],1,P!Nk,1000.0,0.0,0.0,Não,Sim,2020-10-08,2023-04-07,0.0,,Sim,2,2021-06-30,Sim,,Apartamento duplex,Residencial,1065,-154.0,0.0,0.0
